"","X","COSMIC_ID","sample_name","sample_id","model_id","model_name","patient_id","BROAD_ID","CCLE_ID","tissue_descriptor_1","tissue_descriptor_2","tissue_descriptor","tissue","tissue_status","sample_site","cancer_type","cancer_type_passports","gender","ethnicity","age_at_sampling","family_history_of_cancer","smoking_status","alcohol_exposure_intensity","alcohol_consumption_per_week","history_diabetes","diabetes_treatment","colorectal_cancer_risk_factors","GDSC_1000","whole_exome_seq","cna","gene_expression","methylation","drug_response"
"1",626,1247871,"SUP-B15","SIDS00386","SIDM01176","SUP-B15","SIDP00330","ACH-000059","SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","ALL","B-Lymphoblastic Leukemia","Male","White",8,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"2",1211,908146,"MOLT-13","SIDS01123","SIDM00433","MOLT-13","SIDP01010","ACH-000795","MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","ALL","T-Lymphoblastic Leukemia","Female","Unknown",2,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"3",1268,909703,"RS4-11","SIDS00348","SIDM01086","RS4-11","SIDP00293","ACH-000874","RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","ALL","B-Lymphoblastic Leukemia","Female","White",32,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"4",1313,909762,"TALL-1","SIDS01071","SIDM00370","TALL-1","SIDP00960","ACH-000197","TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Bone marrow","ALL","T-Lymphoblastic Leukemia","Male","Unknown",28,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","N","N","Y"
"5",1440,946358,"YT","SIDS01181","SIDM00410","YT","SIDP01067","ACH-002317","YT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","lymphoma","lymphoid_neoplasm other","lymphoma","Haematopoietic and Lymphoid","Metastasis","Pericardial fluid","ALL","Other Blood Cancers","Male","Unknown",15,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"6",749,1330960,"MY-M12","SIDS01017","SIDM01217","MY-M12","SIDP00911","ACH-002276","MYM12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","ALL","Other Blood Cancers","Female","East Asian",52,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","N","N","Y"
"7",1182,907787,"LC4-1","SIDS01009","SIDM00549","LC4-1","SIDP00903","ACH-002267","LC41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_leukemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","ALL","B-Lymphoblastic Leukemia","Female","Unknown",13,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"8",1184,907789,"LOUCY","SIDS01099","SIDM00342","LOUCY","SIDP00988","ACH-000104","LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","ALL","T-Lymphoblastic Leukemia","Female","Unknown",38,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"9",1212,908147,"MOLT-16","SIDS01124","SIDM00431","MOLT-16","SIDP01011","ACH-000918","MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","ALL","T-Lymphoblastic Leukemia","Female","Unknown",5,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
"10",1254,909251,"P12-ICHIKAWA","SIDS01137","SIDM00463","P12-ICHIKAWA","SIDP01024","ACH-000372","P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","leukemia","lymphoblastic_T_cell_leukaemia","leukemia","Haematopoietic and Lymphoid","Tumour","Peripheral blood","ALL","T-Lymphoblastic Leukemia","Male","Unknown",7,"","Unknown","",NA,"","",NA,TRUE,"Y","Y","Y","Y","Y"
