,c_name,d_name,cdr_hat,cdr_all,cluster,c_cluster,d_cluster
0,c1_5,d1_1,0.999908,0.999908,2,1 & 2,2
1,c1_5,d1_2,0.999967,0.999967,2,1 & 2,2
2,c1_5,d1_3,0.999426,0.999426,2,1 & 2,2
3,c1_5,d1_4,0.999667,0.999667,2,1 & 2,2
4,c1_5,d1_5,0.999129,0.999129,1,1 & 2,1
5,c1_5,d1_6,0.999997,0.999997,2,1 & 2,2
6,c1_5,d1_7,0.998229,0.998229,2,1 & 2,2
7,c1_5,d1_8,0.992224,0.992224,2,1 & 2,2
8,c1_5,d1_9,0.998233,0.998233,2,1 & 2,2
9,c1_5,d1_10,0.997457,0.997457,2,1 & 2,2
10,c1_5,d2_1,0.995331,0.995331,1,1 & 2,1
11,c1_5,d2_2,0.999637,0.999637,1,1 & 2,1
12,c1_5,d2_3,0.998654,0.998654,1,1 & 2,1
13,c1_5,d2_4,0.996205,0.996205,1,1 & 2,1
14,c1_5,d2_5,0.993006,0.993006,1,1 & 2,1
15,c1_5,d2_6,0.99746,0.99746,1,1 & 2,1
16,c1_5,d2_7,0.999472,0.999472,1,1 & 2,1
17,c1_5,d2_8,0.947457,0.947457,1,1 & 2,1
18,c1_5,d2_9,0.996203,0.996203,1,1 & 2,1
19,c1_5,d2_10,0.995292,0.995292,1,1 & 2,1
20,c1_5,d0_1,0,0,-1,1 & 2,0
21,c1_5,d0_2,0,0,-1,1 & 2,0
22,c1_5,d0_3,0,0,-1,1 & 2,0
23,c1_5,d0_4,0,0,-1,1 & 2,0
24,c1_5,d0_5,0,0,-1,1 & 2,0
25,c1_5,d0_6,0,0,-1,1 & 2,0
26,c1_5,d0_7,0,0,-1,1 & 2,0
27,c1_5,d0_8,0,0,-1,1 & 2,0
28,c1_5,d0_9,0,0,-1,1 & 2,0
29,c1_5,d0_10,0,0,-1,1 & 2,0
30,c0_36,d1_1,0,0,-1,0,2
31,c0_36,d1_2,0,0,-1,0,2
32,c0_36,d1_3,0,0,-1,0,2
33,c0_36,d1_4,0,0,-1,0,2
34,c0_36,d1_5,0,0,-1,0,1
35,c0_36,d1_6,0,0,-1,0,2
36,c0_36,d1_7,0,0,-1,0,2
37,c0_36,d1_8,0,0,-1,0,2
38,c0_36,d1_9,0,0,-1,0,2
39,c0_36,d1_10,0,0,-1,0,2
40,c0_36,d2_1,0,0,-1,0,1
41,c0_36,d2_2,0,0,-1,0,1
42,c0_36,d2_3,0,0,-1,0,1
43,c0_36,d2_4,0,0,-1,0,1
44,c0_36,d2_5,0,0,-1,0,1
45,c0_36,d2_6,0,0,-1,0,1
46,c0_36,d2_7,0,0,-1,0,1
47,c0_36,d2_8,0,0,-1,0,1
48,c0_36,d2_9,0,0,-1,0,1
49,c0_36,d2_10,0,0,-1,0,1
50,c0_36,d0_1,0.917744,0.917744,0,0,0
51,c0_36,d0_2,0.899353,0.899353,0,0,0
52,c0_36,d0_3,0.85121,0.85121,0,0,0
53,c0_36,d0_4,0.907317,0.907317,0,0,0
54,c0_36,d0_5,0.804266,0.804266,0,0,0
55,c0_36,d0_6,0.89504,0.89504,0,0,0
56,c0_36,d0_7,0.890814,0.890814,0,0,0
57,c0_36,d0_8,0.895324,0.895324,0,0,0
58,c0_36,d0_9,0.836948,0.836948,0,0,0
59,c0_36,d0_10,0.897882,0.897882,0,0,0
60,c2_2,d1_1,0,0,-1,1,2
61,c2_2,d1_2,0,0,-1,1,2
62,c2_2,d1_3,0,0,-1,1,2
63,c2_2,d1_4,0,0,-1,1,2
64,c2_2,d1_5,0.044679,0.044679,1,1,1
65,c2_2,d1_6,0,0,-1,1,2
66,c2_2,d1_7,0,0,-1,1,2
67,c2_2,d1_8,0,0,-1,1,2
68,c2_2,d1_9,0,0,-1,1,2
69,c2_2,d1_10,0,0,-1,1,2
70,c2_2,d2_1,0.978922,0.978922,1,1,1
71,c2_2,d2_2,0.998334,0.998334,1,1,1
72,c2_2,d2_3,0.974437,0.974437,1,1,1
73,c2_2,d2_4,0.992045,0.992045,1,1,1
74,c2_2,d2_5,0.995934,0.995934,1,1,1
75,c2_2,d2_6,0.998057,0.998057,1,1,1
76,c2_2,d2_7,0.995767,0.995767,1,1,1
77,c2_2,d2_8,0.976963,0.976963,1,1,1
78,c2_2,d2_9,0.99785,0.99785,1,1,1
79,c2_2,d2_10,0.997993,0.997993,1,1,1
80,c2_2,d0_1,0,0,-1,1,0
81,c2_2,d0_2,0,0,-1,1,0
82,c2_2,d0_3,0,0,-1,1,0
83,c2_2,d0_4,0,0,-1,1,0
84,c2_2,d0_5,0,0,-1,1,0
85,c2_2,d0_6,0,0,-1,1,0
86,c2_2,d0_7,0,0,-1,1,0
87,c2_2,d0_8,0,0,-1,1,0
88,c2_2,d0_9,0,0,-1,1,0
89,c2_2,d0_10,0,0,-1,1,0
90,c0_29,d1_1,0,0,-1,0,2
91,c0_29,d1_2,0,0,-1,0,2
92,c0_29,d1_3,0,0,-1,0,2
93,c0_29,d1_4,0,0,-1,0,2
94,c0_29,d1_5,0,0,-1,0,1
95,c0_29,d1_6,0,0,-1,0,2
96,c0_29,d1_7,0,0,-1,0,2
97,c0_29,d1_8,0,0,-1,0,2
98,c0_29,d1_9,0,0,-1,0,2
