"","C_ID","C_type"
"1","1240142","grp1"
"2","1240183","grp1"
"3","1240190","grp1"
"4","1247873","grp1"
"5","1290908","grp1"
"6","1298223","grp1"
"7","1298226","grp1"
"8","1298347","grp1"
"9","1298350","grp1"
"10","1298538","grp1"
"11","1322212","grp1"
"12","1330973","grp1"
"13","1503369","grp1"
"14","687777","grp1"
"15","687787","grp1"
"16","687802","grp1"
"17","687812","grp1"
"18","687815","grp1"
"19","687819","grp1"
"20","687820","grp1"
"21","724834","grp1"
"22","724859","grp1"
"23","724873","grp1"
"24","724874","grp1"
"25","724878","grp1"
"26","724879","grp1"
"27","753569","grp1"
"28","905944","grp1"
"29","905967","grp1"
"30","905972","grp1"
"31","906791","grp1"
"32","907786","grp1"
"33","908443","grp1"
"34","908460","grp1"
"35","908465","grp1"
"36","1240143","grp2"
"37","1240145","grp2"
"38","1240146","grp2"
"39","1240185","grp2"
"40","1298348","grp2"
"41","1298537","grp2"
"42","1503370","grp2"
"43","684681","grp2"
"44","687794","grp2"
"45","687798","grp2"
"46","687799","grp2"
"47","687800","grp2"
"48","687807","grp2"
"49","687816","grp2"
"50","687821","grp2"
"51","713869","grp2"
"52","722045","grp2"
"53","722046","grp2"
"54","722058","grp2"
"55","722066","grp2"
"56","724866","grp2"
"57","724868","grp2"
"58","753554","grp2"
"59","753592","grp2"
"60","753600","grp2"
"61","753608","grp2"
"62","905942","grp2"
"63","905949","grp2"
"64","905970","grp2"
"65","906805","grp2"
"66","908463","grp2"
"67","908472","grp2"
"68","908473","grp2"
"69","908475","grp2"
"70","908476","grp2"
"71","909721","grp2"
"72","909728","grp2"
"73","910399","grp2"
"74","910900","grp2"
"75","910931","grp2"
"76","924244","grp2"
