"","d_g1_1","d_g1_2","d_g1_3","d_g1_4","d_g1_5","d_g2_1","d_g2_2","d_g2_3","d_g2_4","d_g2_5"
"1240142",1,1,1,1,1,0,0,0,0,0
"1240183",1,1,1,1,1,0,0,0,0,0
"1240190",1,1,1,1,1,0,0,0,0,0
"1247873",1,1,1,1,1,0,0,0,0,0
"1290908",1,1,1,1,1,0,0,0,0,0
"1298223",1,1,1,1,1,0,0,0,0,0
"1298226",1,1,1,1,1,0,0,0,0,0
"1298347",1,1,1,1,1,0,0,0,0,0
"1298350",1,1,1,1,1,0,0,0,0,0
"1298538",1,1,1,1,1,0,0,0,0,0
"1322212",1,1,1,1,1,0,0,0,0,0
"1330973",1,1,1,1,1,0,0,0,0,0
"1503369",1,1,1,1,1,0,0,0,0,0
"687777",1,1,1,1,1,0,0,0,0,0
"687787",1,1,1,1,1,0,0,0,0,0
"687802",1,1,1,1,1,0,0,0,0,0
"687812",1,1,1,1,1,0,0,0,0,0
"687815",1,1,1,1,1,0,0,0,0,0
"687819",1,1,1,1,1,0,0,0,0,0
"687820",1,1,1,1,1,0,0,0,0,0
"724834",1,1,1,1,1,0,0,0,0,0
"724859",1,1,1,1,1,0,0,0,0,0
"724873",1,1,1,1,1,0,0,0,0,0
"724874",1,1,1,1,1,0,0,0,0,0
"724878",1,1,1,1,1,0,0,0,0,0
"724879",1,1,1,1,1,0,0,0,0,0
"753569",1,1,1,1,1,0,0,0,0,0
"905944",1,1,1,1,1,0,0,0,0,0
"905967",1,1,1,1,1,0,0,0,0,0
"905972",1,1,1,1,1,0,0,0,0,0
"906791",1,1,1,1,1,0,0,0,0,0
"907786",1,1,1,1,1,0,0,0,0,0
"908443",1,1,1,1,1,0,0,0,0,0
"908460",1,1,1,1,1,0,0,0,0,0
"908465",1,1,1,1,1,0,0,0,0,0
"1240143",0,0,0,0,0,1,1,1,1,1
"1240145",0,0,0,0,0,1,1,1,1,1
"1240146",0,0,0,0,0,1,1,1,1,1
"1240185",0,0,0,0,0,1,1,1,1,1
"1298348",0,0,0,0,0,1,1,1,1,1
"1298537",0,0,0,0,0,1,1,1,1,1
"1503370",0,0,0,0,0,1,1,1,1,1
"684681",0,0,0,0,0,1,1,1,1,1
"687794",0,0,0,0,0,1,1,1,1,1
"687798",0,0,0,0,0,1,1,1,1,1
"687799",0,0,0,0,0,1,1,1,1,1
"687800",0,0,0,0,0,1,1,1,1,1
"687807",0,0,0,0,0,1,1,1,1,1
"687816",0,0,0,0,0,1,1,1,1,1
"687821",0,0,0,0,0,1,1,1,1,1
"713869",0,0,0,0,0,1,1,1,1,1
"722045",0,0,0,0,0,1,1,1,1,1
"722046",0,0,0,0,0,1,1,1,1,1
"722058",0,0,0,0,0,1,1,1,1,1
"722066",0,0,0,0,0,1,1,1,1,1
"724866",0,0,0,0,0,1,1,1,1,1
"724868",0,0,0,0,0,1,1,1,1,1
"753554",0,0,0,0,0,1,1,1,1,1
"753592",0,0,0,0,0,1,1,1,1,1
"753600",0,0,0,0,0,1,1,1,1,1
"753608",0,0,0,0,0,1,1,1,1,1
"905942",0,0,0,0,0,1,1,1,1,1
"905949",0,0,0,0,0,1,1,1,1,1
"905970",0,0,0,0,0,1,1,1,1,1
"906805",0,0,0,0,0,1,1,1,1,1
"908463",0,0,0,0,0,1,1,1,1,1
"908472",0,0,0,0,0,1,1,1,1,1
"908473",0,0,0,0,0,1,1,1,1,1
"908475",0,0,0,0,0,1,1,1,1,1
"908476",0,0,0,0,0,1,1,1,1,1
"909721",0,0,0,0,0,1,1,1,1,1
"909728",0,0,0,0,0,1,1,1,1,1
"910399",0,0,0,0,0,1,1,1,1,1
"910900",0,0,0,0,0,1,1,1,1,1
"910931",0,0,0,0,0,1,1,1,1,1
"924244",0,0,0,0,0,1,1,1,1,1
