"","C_ID","C_type"
"1","c1_1","grp1"
"2","c1_2","grp1"
"3","c1_3","grp1"
"4","c1_4","grp1"
"5","c1_5","grp1"
"6","c1_6","grp1"
"7","c1_7","grp1"
"8","c1_8","grp1"
"9","c1_9","grp1"
"10","c1_10","grp1"
"11","c1_11","grp1"
"12","c1_12","grp1"
"13","c1_13","grp1"
"14","c1_14","grp1"
"15","c1_15","grp1"
"16","c1_16","grp1"
"17","c1_17","grp1"
"18","c1_18","grp1"
"19","c1_19","grp1"
"20","c1_20","grp1"
"21","c1_21","grp1"
"22","c1_22","grp1"
"23","c1_23","grp1"
"24","c1_24","grp1"
"25","c1_25","grp1"
"26","c1_26","grp1"
"27","c1_27","grp1"
"28","c1_28","grp1"
"29","c1_29","grp1"
"30","c1_30","grp1"
"31","c1_31","grp1"
"32","c1_32","grp1"
"33","c1_33","grp1"
"34","c1_34","grp1"
"35","c1_35","grp1"
"36","c2_1","grp2"
"37","c2_2","grp2"
"38","c2_3","grp2"
"39","c2_4","grp2"
"40","c2_5","grp2"
"41","c2_6","grp2"
"42","c2_7","grp2"
"43","c2_8","grp2"
"44","c2_9","grp2"
"45","c2_10","grp2"
"46","c2_11","grp2"
"47","c2_12","grp2"
"48","c2_13","grp2"
"49","c2_14","grp2"
"50","c2_15","grp2"
"51","c2_16","grp2"
"52","c2_17","grp2"
"53","c2_18","grp2"
"54","c2_19","grp2"
"55","c2_20","grp2"
"56","c2_21","grp2"
"57","c2_22","grp2"
"58","c2_23","grp2"
"59","c2_24","grp2"
"60","c2_25","grp2"
"61","c2_26","grp2"
"62","c2_27","grp2"
"63","c2_28","grp2"
"64","c2_29","grp2"
"65","c2_30","grp2"
"66","c2_31","grp2"
"67","c2_32","grp2"
"68","c2_33","grp2"
"69","c2_34","grp2"
"70","c2_35","grp2"
"71","c2_36","grp2"
"72","c2_37","grp2"
"73","c2_38","grp2"
"74","c2_39","grp2"
"75","c2_40","grp2"
"76","c2_41","grp2"
"77","c0_1","grp0"
"78","c0_2","grp0"
"79","c0_3","grp0"
"80","c0_4","grp0"
"81","c0_5","grp0"
"82","c0_6","grp0"
"83","c0_7","grp0"
"84","c0_8","grp0"
"85","c0_9","grp0"
"86","c0_10","grp0"
"87","c0_11","grp0"
"88","c0_12","grp0"
"89","c0_13","grp0"
"90","c0_14","grp0"
"91","c0_15","grp0"
"92","c0_16","grp0"
"93","c0_17","grp0"
"94","c0_18","grp0"
"95","c0_19","grp0"
"96","c0_20","grp0"
"97","c0_21","grp0"
"98","c0_22","grp0"
"99","c0_23","grp0"
"100","c0_24","grp0"
"101","c0_25","grp0"
"102","c0_26","grp0"
"103","c0_27","grp0"
"104","c0_28","grp0"
"105","c0_29","grp0"
"106","c0_30","grp0"
"107","c0_31","grp0"
"108","c0_32","grp0"
"109","c0_33","grp0"
"110","c0_34","grp0"
"111","c0_35","grp0"
"112","c0_36","grp0"
"113","c0_37","grp0"
"114","c0_38","grp0"
"115","c0_39","grp0"
"116","c0_40","grp0"
"117","c0_41","grp0"
"118","c0_42","grp0"
"119","c0_43","grp0"
"120","c0_44","grp0"
"121","c0_45","grp0"
"122","c0_46","grp0"
"123","c0_47","grp0"
"124","c0_48","grp0"
"125","c0_49","grp0"
"126","c0_50","grp0"
"127","c0_51","grp0"
"128","c0_52","grp0"
"129","c0_53","grp0"
"130","c0_54","grp0"
"131","c0_55","grp0"
"132","c0_56","grp0"
"133","c0_57","grp0"
"134","c0_58","grp0"
"135","c0_59","grp0"
"136","c0_60","grp0"
"137","c0_61","grp0"
"138","c0_62","grp0"
